,Exponent,Truth Label,Predicted Label,Confidence
863,0.775,3,7,0.16876971608832808
864,0.775,4,0,
865,0.775,4,1,
866,0.775,4,2,
867,0.775,4,3,
868,0.775,4,4,
869,0.775,4,5,
870,0.775,4,6,
871,0.775,4,7,
872,0.775,5,0,
873,0.775,5,1,
874,0.775,5,2,
875,0.775,5,3,
876,0.775,5,4,
877,0.775,5,5,
878,0.775,5,6,
879,0.775,5,7,
880,0.775,6,0,
881,0.775,6,1,
882,0.775,6,2,
883,0.775,6,3,
884,0.775,6,4,
885,0.775,6,5,
886,0.775,6,6,
887,0.775,6,7,
888,0.775,7,0,
889,0.775,7,1,
890,0.775,7,2,
891,0.775,7,3,
892,0.775,7,4,
893,0.775,7,5,
894,0.775,7,6,
895,0.775,7,7,
896,0.825,0,0,0.7848101265822784
897,0.825,0,1,0.04430379746835443
898,0.825,0,2,0.012658227848101266
899,0.825,0,3,0.04113924050632911
900,0.825,0,4,0.00949367088607595
901,0.825,0,5,0.0015822784810126582
902,0.825,0,6,0.02531645569620253
903,0.825,0,7,0.08069620253164557
904,0.825,1,0,0.030063291139240507
905,0.825,1,1,0.9620253164556962
906,0.825,1,2,0.0
907,0.825,1,3,0.0
